ticker	label	date	open	high	low	close	volume	currency
FR0000121501	PEUGEOT	29/08/2016	13,430	13,470	13,195	13,265	1839419	EUR
FR0000121501	PEUGEOT	30/08/2016	13,365	13,525	13,300	13,445	2092721	EUR
FR0000121501	PEUGEOT	31/08/2016	13,400	13,530	13,210	13,225	3359561	EUR
FR0000121501	PEUGEOT	01/09/2016	13,325	13,770	13,320	13,440	5594750	EUR
FR0000121501	PEUGEOT	02/09/2016	13,540	13,810	13,350	13,810	4750125	EUR
FR0000121501	PEUGEOT	05/09/2016	13,850	13,980	13,720	13,840	3109689	EUR
FR0000121501	PEUGEOT	06/09/2016	13,885	14,000	13,765	13,785	2977553	EUR
FR0000121501	PEUGEOT	07/09/2016	13,775	13,925	13,650	13,860	2657616	EUR
FR0000121501	PEUGEOT	08/09/2016	13,895	13,970	13,505	13,750	4153035	EUR
FR0000121501	PEUGEOT	09/09/2016	13,690	13,935	13,610	13,735	2767680	EUR
FR0000121501	PEUGEOT	12/09/2016	13,420	13,490	13,185	13,490	3889416	EUR
FR0000121501	PEUGEOT	13/09/2016	13,570	13,680	13,335	13,350	2191436	EUR
FR0000121501	PEUGEOT	14/09/2016	13,380	13,400	13,120	13,185	2856736	EUR
FR0000121501	PEUGEOT	15/09/2016	13,150	13,330	13,090	13,245	3058703	EUR
FR0000121501	PEUGEOT	16/09/2016	13,155	13,345	12,970	13,030	5330567	EUR
FR0000124141	VEOLIA ENVIRONN.	17/09/2015	20,460	20,795	20,340	20,685	3567524	EUR
FR0000124141	VEOLIA ENVIRONN.	18/09/2015	20,650	20,720	20,270	20,430	3537306	EUR
FR0000124141	VEOLIA ENVIRONN.	21/09/2015	20,430	20,790	20,400	20,445	2173305	EUR
FR0000124141	VEOLIA ENVIRONN.	22/09/2015	20,405	20,475	19,935	20,000	2511445	EUR
FR0000124141	VEOLIA ENVIRONN.	23/09/2015	20,025	20,165	19,910	20,040	2189882	EUR
FR0000124141	VEOLIA ENVIRONN.	24/09/2015	20,070	20,115	19,630	19,795	1983244	EUR
FR0000124141	VEOLIA ENVIRONN.	25/09/2015	20,015	20,645	19,980	20,515	2271939	EUR
FR0000124141	VEOLIA ENVIRONN.	28/09/2015	20,400	20,545	20,060	20,110	2147986	EUR
FR0000124141	VEOLIA ENVIRONN.	29/09/2015	19,875	20,180	19,755	19,770	2535505	EUR
FR0000124141	VEOLIA ENVIRONN.	30/09/2015	20,080	20,450	19,910	20,430	3334309	EUR
FR0000124141	VEOLIA ENVIRONN.	01/10/2015	20,630	20,890	20,305	20,360	2748106	EUR
FR0000124141	VEOLIA ENVIRONN.	02/10/2015	20,610	20,610	20,105	20,410	2698748	EUR
FR0000124141	VEOLIA ENVIRONN.	05/10/2015	20,755	20,885	20,415	20,495	3144948	EUR
FR0000124141	VEOLIA ENVIRONN.	06/10/2015	20,535	20,625	20,300	20,460	2416284	EUR
FR0000124141	VEOLIA ENVIRONN.	07/10/2015	20,615	20,870	20,480	20,525	1966490	EUR
FR0000124141	VEOLIA ENVIRONN.	08/10/2015	20,475	20,570	20,030	20,245	2676721	EUR
FR0000124141	VEOLIA ENVIRONN.	09/10/2015	20,300	20,500	19,870	19,965	3329801	EUR
FR0000124141	VEOLIA ENVIRONN.	12/10/2015	20,035	20,070	19,540	19,605	2986728	EUR
FR0000124141	VEOLIA ENVIRONN.	13/10/2015	19,615	19,805	19,420	19,700	2892193	EUR
FR0000124141	VEOLIA ENVIRONN.	14/10/2015	19,575	19,880	19,440	19,710	2282961	EUR
FR0000124141	VEOLIA ENVIRONN.	15/10/2015	19,980	19,995	19,740	19,975	1891315	EUR
FR0000124141	VEOLIA ENVIRONN.	16/10/2015	20,115	20,510	20,070	20,460	2393214	EUR
FR0000124141	VEOLIA ENVIRONN.	19/10/2015	20,455	20,745	20,320	20,460	1223740	EUR
FR0000124141	VEOLIA ENVIRONN.	20/10/2015	20,460	20,725	20,445	20,670	1326871	EUR
FR0000124141	VEOLIA ENVIRONN.	21/10/2015	20,720	21,115	20,550	21,100	2463947	EUR
FR0000124141	VEOLIA ENVIRONN.	22/10/2015	21,015	21,335	20,890	21,120	2624111	EUR
FR0000124141	VEOLIA ENVIRONN.	23/10/2015	21,275	21,420	21,130	21,360	2264175	EUR
FR0000124141	VEOLIA ENVIRONN.	26/10/2015	21,300	21,475	21,110	21,425	1718704	EUR
FR0000124141	VEOLIA ENVIRONN.	27/10/2015	21,375	21,630	21,310	21,320	1720842	EUR
FR0000124141	VEOLIA ENVIRONN.	28/10/2015	21,380	21,560	21,330	21,365	1271062	EUR
FR0000124141	VEOLIA ENVIRONN.	29/10/2015	21,425	21,450	21,140	21,210	1492110	EUR
FR0000124141	VEOLIA ENVIRONN.	30/10/2015	21,250	21,285	20,975	21,175	1426837	EUR
FR0000124141	VEOLIA ENVIRONN.	02/11/2015	21,105	21,575	21,045	21,350	1747882	EUR
FR0000124141	VEOLIA ENVIRONN.	03/11/2015	21,335	21,355	21,100	21,220	1717873	EUR
FR0000124141	VEOLIA ENVIRONN.	04/11/2015	21,240	21,495	21,180	21,180	1368685	EUR
FR0000124141	VEOLIA ENVIRONN.	05/11/2015	21,550	22,680	21,340	22,565	3888395	EUR
FR0000124141	VEOLIA ENVIRONN.	06/11/2015	22,555	22,570	22,010	22,140	2534558	EUR
FR0000124141	VEOLIA ENVIRONN.	09/11/2015	22,095	22,195	21,705	21,725	1518288	EUR
FR0000124141	VEOLIA ENVIRONN.	10/11/2015	21,765	22,025	21,740	22,010	1430405	EUR
FR0000124141	VEOLIA ENVIRONN.	11/11/2015	21,985	22,125	21,655	21,720	1417973	EUR
FR0000124141	VEOLIA ENVIRONN.	12/11/2015	21,770	21,955	21,555	21,615	1118517	EUR
FR0000124141	VEOLIA ENVIRONN.	13/11/2015	21,565	21,625	21,345	21,445	1415734	EUR
FR0000124141	VEOLIA ENVIRONN.	16/11/2015	21,265	21,780	21,115	21,760	1042982	EUR
FR0000124141	VEOLIA ENVIRONN.	17/11/2015	22,000	22,280	21,990	22,225	2326482	EUR
FR0000124141	VEOLIA ENVIRONN.	18/11/2015	22,150	22,155	21,825	21,895	1439118	EUR
FR0000124141	VEOLIA ENVIRONN.	19/11/2015	22,060	22,375	22,020	22,265	1471382	EUR
FR0000124141	VEOLIA ENVIRONN.	20/11/2015	22,300	22,365	22,000	22,325	1737388	EUR
FR0000124141	VEOLIA ENVIRONN.	23/11/2015	22,295	22,445	22,180	22,215	1186886	EUR
FR0000124141	VEOLIA ENVIRONN.	24/11/2015	22,090	22,160	21,655	21,705	2012882	EUR
FR0000124141	VEOLIA ENVIRONN.	25/11/2015	21,705	22,140	21,685	21,860	1450418	EUR
FR0000124141	VEOLIA ENVIRONN.	26/11/2015	21,860	22,860	21,860	22,765	1928735	EUR
FR0000124141	VEOLIA ENVIRONN.	27/11/2015	22,720	22,980	22,525	22,890	1748691	EUR
FR0000124141	VEOLIA ENVIRONN.	30/11/2015	22,695	22,830	22,455	22,690	2047077	EUR
FR0000124141	VEOLIA ENVIRONN.	01/12/2015	22,700	22,795	22,375	22,480	1735230	EUR
FR0000124141	VEOLIA ENVIRONN.	02/12/2015	22,600	22,860	22,425	22,500	1383932	EUR
FR0000124141	VEOLIA ENVIRONN.	03/12/2015	22,475	22,820	21,875	22,075	2864535	EUR
FR0000124141	VEOLIA ENVIRONN.	04/12/2015	21,970	22,020	21,690	21,885	1924010	EUR
FR0000124141	VEOLIA ENVIRONN.	07/12/2015	21,880	22,190	21,825	22,055	1264880	EUR
